pmid,title,journal,year,authors,abstract,query
40540665,Nonfunctioning Kidney Due to Renal Tuberculosis: A Diagnostic Challenge.,International journal of mycobacteriology,2025,Madhuri Singh; Shirish Sahebrao Chandanwale; Akshi Raj; Kumar Roushan; Anuj Sharma,"Urogenital tuberculosis (TB) is a common manifestation of extrapulmonary TB, accounting for approximately 30%-40% of all cases, with the kidneys being the most frequently affected organ. Despite its prevalence, renal TB often presents diagnostic challenges due to nonspecific clinical symptoms, which can lead to delayed diagnosis and treatment. Increased occurrences of extrapulmonary TB have been observed in recent decades, linked to a rise in organ transplants and the prevalence of acquired immune deficiency syndrome. The urogenital form of the disease may arise from either disseminated infection or primary genitourinary localization. Symptoms typically include pyuria, dysuria, fever, flank pain, and burning micturition, often revealing a mass related to hydronephrosis of the affected kidney. Clinicians in regions with high TB prevalence, such as India, should maintain a high index of suspicion for renal TB, especially in patients with recurrent urinary tract infections. Early identification and treatment are crucial to prevent the development of nonfunctioning kidneys and associated complications. This case report highlights the importance of recognizing the clinical presentation of renal TB to improve diagnosis and management in affected patients.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40528876,Outcomes of children with juvenile idiopathic arthritis receiving biological disease-modifying anti-rheumatic drugs: a retrospective single-centre experience from India.,The Lancet regional health. Southeast Asia,2025,Pavneet Kaur; Farheen Kizhakkeveettil Saheer; Bala Siva Rama Krishna J; Banoth Sreeshanth; Ayisha Kavil Peedika; Bareddy Sai Thrisha Reddy; Ashish Datt Upadhyay; Rakesh Lodha; Sushil Kumar Kabra; Narendra Bagri,"We aimed to study the outcomes (remission, flare and adverse events) of biological disease-modifying anti-rheumatic drugs (bDMARD) in children with JIA from a low-middle-income country setting, and explore the factors associated with these outcomes. The Pediatric Rheumatology Clinic bDMARD register (2009 to August 2024) was screened to enrol children with JIA and at least 3 months follow-up whilst on bDMARDs. Participant characteristics and clinical responses were collected in a pre-designed proforma to evaluate the primary objective i.e., studying outcomes among children with JIA on bDMARDs. The secondary objective was to study factors associated with time-to-remission (TTR) and flare-after-stopping-bDMARDs. One-hundred-fifteen children (59.1% boys) with 168 patient-years of bDMARD use were enrolled for this single-centre study. Enthesitis-related arthritis was the commonest subtype of JIA (n = 44, 38.3%). The most commonly used bDMARD was adalimumab (n = 43, 37.3%). The median (IQR) delay to initiation of bDMARD from the perceived need was 2 (0-6) months, primarily due to financial impediments (n = 81, 70.4%). Fifteen (13%) children screened positive for tuberculosis infection. One hundred ten (95.6%) children achieved remission on bDMARD, after a median (IQR) of 7.5 (4-12) weeks. Macrophage activation syndrome at initiation was significantly associated (HR 3.6 (1.3-10.0), p = 0.03) with a longer time-to-remission. bDMARDs were stopped in n = 68/115 (59.1%) after a median (IQR) 15 (9.6-26.5) months, of whom n = 33/68 (48.5%) flared at 6 (3.5-12) months of follow-up. A longer time-to-remission (OR 1.12 (1.02-1.23), p = 0.01) was significantly associated with flare after stopping bDMARDs. Forty-two (36.5%) patients experienced adverse events. The most striking adverse events were serious infections requiring hospitalisation (n = 13, 11.3%) and tuberculosis (n = 4, 3.5%). All children who developed tuberculosis were on TNFi (Adalimumab). Though children on bDMARDs showed comparable remission rates, we noted a higher frequency of serious infections and tuberculosis, compared to the experience described from high-income countries. These observations highlight the need for further surveillance of outcomes of bDMARD use among children with JIA in an LMIC setting. There has been no financial support for this work.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40493553,Impact of multiple consultations and switching in treatment-seeking in tuberculosis: Mathematical modelling and optimal control.,PloS one,2025,Preeti Saini; Samit Bhattacharyya,"Treatment-seeking behaviour significantly contributes to the worldwide tuberculosis (TB) burden, especially in Southeast Asia and African regions. At the onset of symptoms like coughing, fever, fatigue, and loss of appetite, individuals visit various clinics or alternative medicine centres, often switching multiple times before actually reaching a TB DOTS (Directly Observed Therapy Short Courses) centre. This, however, introduces a long delay in proper diagnosis and treatment of TB cases, which increases community transmission and the overall TB burden. By synthesizing data from various empirical studies, we develop an intricate mathematical model of such multiple consultations and aim to quantify the impact of such behavioural interactions on disease burden. Our SIR-based TB transmission framework quantifies the rise in active TB cases due to delays from multiple consultations before diagnosis and treatment at DOTS centres. We found that up to 2-3 consultations before diagnosis can substantially lower the overall TB burden. Using optimal control modelling, we propose targeted interventions - including enhanced TB awareness, early detection, and improved healthcare infrastructure. These findings offer valuable insights for policymakers and public health organizations to develop effective strategies for TB control in high-prevalent regions.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40491731,Understanding antituberculosis drug-induced hepatotoxicity: Risk factors and effective management strategies in the pediatric population.,World journal of clinical pediatrics,2025,Pooja Semwal; Manjit Kaur Saini; Moinak Sen Sarma,"Antituberculosis drug-induced hepatotoxicity (ATDIH) is a significant concern while managing pediatric tuberculosis. There is limited data on pediatric ATDIH, and much of the management practices are extrapolated from adult experiences. This article provides a comprehensive overview of the incidence, risk factors, clinical presentation, and management strategies for ATDIH in children. Pyrazinamide, isoniazid, and rifampicin are the most hepatotoxic first-line antituberculosis therapy (ATT). Though pyrazinamide has the highest potential for ATDIH, isoniazid is most frequently implicated. Hepatotoxicity typically manifests within the first 2-8 weeks of treatment, particularly during the intensive phase. Risk factors include younger age, female gender, malnutrition, hypoalbuminemia, and baseline liver dysfunction. Extra-pulmonary TB, particularly tuberculous meningitis, and concomitant hepatotoxic medications such as antiretro viral therapy or antiepileptic drugs further increase susceptibility. Genetic predisposition, including N-acetyltransferase 2 and cytochrome P4502E1 polymorphisms and specific HLA alleles also contribute to the increased risk. Clinically, ATDIH ranges from asymptomatic transaminase elevation to severe acute liver failure (ALF), necessitating prompt recognition and intervention. Diagnosis relies on the temporal association of liver injury with ATT initiation, supported by liver function tests, improvement upon ATT cessation, and recurrence upon reintroduction. Management involves discontinuing hepatotoxic drugs, initiating non-hepatotoxic regimens, and sequential reintroduction of ATT under close monitoring. For children with ALF, care in a tertiary center with liver transplantation expertise is essential. While pediatric ATDIH generally has favorable outcomes with timely intervention, delays can result in significant morbidity and mortality. Improved understanding of risk factors, vigilant monitoring protocols, and standardized pediatric management strategies are critical for optimizing outcomes in pediatric ATDIH.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40485475,Pulmonary histoplasmosis with histoplasmosis tracheitis in a patient with systemic sclerosis: A case report and review of literature.,Indian journal of pathology & microbiology,2025,Tanvi Jha; Arvind Ahuja; Desh Deepak,"Histoplasmosis usually presents as a pulmonary disease. However, histoplasmosis tracheitis is an extremely rare presentation that is often misdiagnosed. We present a case of a 41-year-old female, a known case of systemic sclerosis and chronic kidney disease, on steroids and receiving hemodialysis, who presented with persistent fever, dry cough, and vomiting following recovery from COVID-19 infection. Radiography revealed the presence of cavitating lung lesions, and an initial clinical differential diagnosis of granulomatosis with polyangiitis or tuberculosis was made. Bronchoscopic evaluation, however, revealed the presence of a nodule over the tracheal cartilage, which, on histopathology, revealed sheets of histoplasma-laden histiocytes, allowing a diagnosis of histoplasmosis tracheitis. Histoplasmosis tracheitis is a rare and frequently misdiagnosed condition that can delay treatment and worsen outcomes, underscoring the need for awareness and high clinical suspicion for timely, appropriate intervention.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40448889,"Diagnostic yield of Xpert MTB/RIF, Xpert MTB/RIF Ultra, and Truenat MTB assays on non-pulmonary samples from suspected cases of extra-pulmonary tuberculosis (EPTB).",European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,2025,Anvita Gupta Malhotra; Leena Lokhande; Abhijit Pakhare; Payal Soni; Satya Prakash Vishwakarma; Anand Kumar Maurya; Jitendra Singh; Sarman Singh,"Extrapulmonary tuberculosis (EPTB) poses a diagnostic challenge due to its paucibacillary nature and low diagnostic yield of traditional methods. Molecular diagnostic tools like Xpert MTB/RIF, Xpert MTB/RIF Ultra, and Truenat MTB offer promising alternatives for the rapid and higher detection rates for pulmonary TB samples. However, the yield of these newly introduced molecular tests on extra-pulmonary samples requires country-specific evaluation and comparative analysis. This study evaluated the diagnostic performance of Xpert MTB/RIF, Xpert MTB/RIF Ultra, and Truenat MTB assays in detecting EPTB on 211 clinical specimens collected at a tertiary care centre of central India. The assays' sensitivity, specificity, positive predictive value (PPV) and negative predictive value (NPP) were compared against a composite reference standard. Xpert MTB/RIF Ultra exhibited the highest sensitivity (50%) for EPTB detection, outperforming the standard GeneXpert MTB/RIF (29.4%) and Truenat MTB (35.3%), with comparable specificity across all three assays. Among the specimen types, pus samples demonstrated the highest (value) diagnostic yield. These findings highlight the superior diagnostic capabilities of Xpert MTB/RIF Ultra, particularly in paucibacillary cases. Xpert Ultra demonstrates superior sensitivity for EPTB detection compared to Xpert MTB/RIF and Truenat MTB, making it a promising tool to enhance diagnostic accuracy in paucibacillary TB. Its adoption as a standard diagnostic method could significantly improve EPTB management. These findings advocate for integrating advanced molecular diagnostics into routine tuberculosis workflows to reduce diagnostic delays and improve patient outcomes. Not applicable.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40441696,Population pharmacokinetics and dosing of dispersible moxifloxacin formulation in children with rifampicin-resistant tuberculosis.,British journal of clinical pharmacology,2025,Megan Palmer; Yuanxi Zou; Anneke C Hesseling; Louvina van der Laan; Ingrid Courtney; Aarti A Kinikar; Naresh Sonkawade; Mandar Paradkar; Vandana Kulkarni; Dessa Jean O Casalme; Melchor V G Frias; Heather Draper; Lubbe Wiesner; Mats O Karlsson; Paolo Denti; Elin M Svensson; Anthony J Garcia-Prats,"Moxifloxacin is a priority drug for treating rifampicin-resistant tuberculosis (RR-TB). We assessed the pharmacokinetics of a child-friendly, dispersible 100 mg tablet moxifloxacin formulation (dispersed in water) compared to the standard 400 mg non-dispersible formulation (crushed and suspended in water) in children and evaluated current dosing recommendations. The CATALYST trial investigated the pharmacokinetics of moxifloxacin in children with RR-TB. Children were enrolled in South Africa, India and the Philippines. Intensive pharmacokinetic sampling was undertaken while children were taking the standard non-dispersible 400 mg moxifloxacin tablet formulation and repeated after switching to the novel dispersible formulation. Pharmacokinetic data were analysed using population pharmacokinetic modelling. Simulations were performed to evaluate moxifloxacin exposures in children compared to consensus adult reference exposures using current World Health Organization (WHO)-recommended doses and more recent model-based doses. Thirty-six children were enrolled [median age 4.8 (range 0.4-15) years and weight 15.6 (range 6.9-42.1) kg]. A two-compartment disposition model with first-order elimination and delayed absorption was developed. The bioavailability of dispersible versus standard formulations fulfilled standard bioequivalence criterion (ratio 1.05 with 90% confidence interval 0.95-1.15). Simulations showed WHO-recommended doses achieved exposures similar to those in adults in children >10 kg, while children <10 kg may require 33%-56% higher doses to reach adult reference exposures. Dosing recommendations for children can be the same for the dispersible paediatric and standard non-dispersible adult moxifloxacin formulation. The current WHO dosing recommendation risks underdosing moxifloxacin in children <10 kg. We propose optimized moxifloxacin doses for both formulations.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40424989,"Correct Knowledge about Tuberculosis and Determinants among People Living with HIV Attending a District Antiretroviral Treatment Center in the State of Karnataka, India.",The American journal of tropical medicine and hygiene,2025,Jeni Jacob; Ankeeta Menona Jacob; Avinash K Shetty,"Tuberculosis (TB) is a major global public health concern. People living with HIV (PLHIV) are at an increased risk of developing active TB, with a 20-fold higher risk compared with those without HIV infection. Gaps in TB knowledge among PLHIV patients have been linked to delays in the diagnosis of TB and poor adherence to TB medications, resulting in substantial morbidity and mortality. In the current study, the correct knowledge of TB and its determinants among PLHIV patients attending a district antiretroviral therapy (ART) center in Karnataka, India, was assessed. A cross-sectional study was conducted at a district ART facility in Karnataka between October 2022 and April 2023. A pretested questionnaire was used to gather data, and SPSS version 29.0 (IBM Corp., Armonk, NY) was used for analysis. The proportion of PLHIV with correct TB knowledge and sources was expressed in percentages. Associations between correct TB knowledge and sociodemographic variables were assessed using χ2 and Fisher's tests. Among 432 participants, 222 (51.4%) were male, and 191 (44.1%) had education beyond high school. Correct TB knowledge was found in 253 (58.5%) participants and was significantly associated with educational status, monthly family income, source of TB information, TB preventive treatment intake, and public attitude stigma in multivariate analysis. Healthcare workers were the primary source of correct TB knowledge for 388 (97.4%) participants. This study highlights the need to strengthen TB education and awareness among PLHIV to improve their health-seeking behavior and facilitate early TB detection.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40406648,Tuberculosis Trends in the Post-COVID-19 Era: Is It Going to be a Global Concern?,Health science reports,2025,Soroush Khojasteh-Kaffash; Adrina Habibzadeh; Sina Moghaddam; Fatemeh Afra; Noosha Samieefar; Abolfazl Fateh,"Tuberculosis (TB), a leading cause of death from infectious diseases, faced considerable challenges during the coronavirus disease 2019 (COVID-19) pandemic. This review examines the impact of pandemic-related disruptions, including the diversion of healthcare resources, reduced access to TB diagnostics and treatment, and declining BCG vaccination rates, on TB trends. The aim is to forecast the post-COVID-19 TB burden, identify risk factors that exacerbate transmission, and propose strategies to prevent a global resurgence. This narrative review incorporates epidemiological data, modeling research, and reports from the World Health Organization and national health systems. It examines TB trends before and after COVID-19, the outcomes of coinfection, and the pandemic's impact on immunology, socioeconomic factors, and health systems. The review also compares trends in India and South Africa-two countries facing significant challenges-to those observed during the COVID-19 pandemic. COVID-19 disruptions in healthcare led to an 18% decrease in TB notifications in 2020, resulting in delayed diagnoses, increased household transmission, and higher mortality. Immune dysregulation, including T-cell depletion and cytokine storms, contributed to a 12.3% mortality rate in COVID-19-TB coinfections. Models predict a 5%-15% rise in TB incidence and an additional 1.4 million deaths by 2025. Individuals with HIV, diabetes, and malnutrition were particularly vulnerable. Factors such as overcrowding, air pollution, and reduced Bacillus Calmette-Guérin (BCG) coverage in endemic regions have further heightened susceptibility to TB. COVID-19 has undone years of progress in TB control, highlighting the need for a unified health strategy. Early diagnosis, treatment of latent TB, and BCG catch-up initiatives are crucial. Strengthening health systems, addressing socioeconomic factors such as poverty and hunger, and utilizing pandemic advancements like telemedicine and vaccine research will be key to preventing a resurgence of TB. Continued financial support and international cooperation are essential to eliminating TB by 2030.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40400720,Tuberculous compound palmar ganglion: unravelling a rare diagnosis.,International journal of burns and trauma,2025,Latif Zafar Jilani; Mohammad Istiyak; Akash Sudarshan,"Tuberculous tenosynovitis is a rare manifestation of musculoskeletal tuberculosis, often misdiagnosed due to its indolent course and nonspecific presentation. Compound palmar ganglion, a chronic form of tuberculous tenosynovitis, can mimic benign conditions like ganglion cysts, leading to diagnostic delays, especially in immunocompromised individuals. We report a case of a 35-year-old HIV-positive female who presented with a painless swelling on the volar aspect of the wrist for six months. MRI revealed flexor tendon thickening and synovial proliferation, raising suspicion of infectious tenosynovitis. Surgical excision was performed, and histopathological examination confirmed tuberculous tenosynovitis with caseous granulomas. Ziehl-Neelsen staining identified acid-fast bacilli, confirming the diagnosis. The patient was started on standard anti-tubercular therapy (ATT) and showed complete resolution of symptoms at six months. Tuberculous compound palmar ganglion should be considered in chronic wrist swellings, particularly in endemic regions and immunocompromised patients. Early diagnosis using imaging and histopathology is crucial for timely management. A combination of surgical excision and ATT ensures favorable outcomes.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40392137,18F-FDG PET/CT in a Giant Cell Tumor of Bone Masquerading as a Retroperitoneal Soft Tissue Sarcoma.,Clinical nuclear medicine,2025,Yamini Dharmashaktu; Shamim A Shamim; Sameer Rastogi; Ritwik Wakankar; Adarsh Barwad,"Giant cell tumor of bone (GCTB) is a rare, benign but locally aggressive neoplasm that typically arises in the epiphysis of long bones. GCTB occurrence in the axial skeleton is less common. Due to its variable radiological appearance and unusual location, GCTB can be misdiagnosed as a soft tissue or retroperitoneal mass, leading to delays in diagnosis and inappropriate treatment. We present the case of a 36-year-old woman who was misdiagnosed as a case of spinal tuberculosis and was started on ATT. Initial imaging, including ultrasound, computed tomography (CT), and magnetic resonance imaging (MRI), revealed a large, retroperitoneal mass involving the L2 vertebral body, raising suspicion of a malignant soft tissue tumor. Further evaluation with 18F-FDG PET/CT suggested a retroperitoneal metabolically active lesion, reinforcing the need for histopathological confirmation.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40352342,Establishment and evaluation of a naked-eye diagnostic assay for tuberculosis utilizing reverse isothermal amplification-assisted CRISPR-Cas in resource-limited settings.,Drug target insights,2025,Ankush Kaushik; Jitendra Singh; Zeeshan Fatima; Saif Hameed,"The current scenario of tuberculosis (TB) caused by <i>Mycobacterium tuberculosis</i> (MTB) has presented an almost insurmountable challenge to hospitals with high patient numbers. Delayed diagnosis of TB is a major hurdle in preventing the employment of efficient therapeutics, leading to the development of drug resistance. Hence, an easily accessible diagnostic method, particularly for resource for resource-limited settings, is pertinent for the rapid identification of MTB-infected patients. In pursuit of developing such an assay, the present study offers a CLAP-TB (CRISPR-Cas coupled RT-LAMP Amplification Protocol for Tuberculosis) assay, which will allow us to diagnose TB rapidly and visually. Herein, the visual MTB detection consists of a method utilizing 232 different samples (sputum, urine, serum) from 82 patients for reverse transcription loop-mediated isothermal amplification (RT-LAMP). Additionally, the assay also utilizes the integration of a CRISPR-Cas12-based system using different guide RNAs of <i>IS6110</i> and an internal control <i>POP7</i> (human RNase P) genes along with visual detection via lateral flow readout-based dipsticks with the unaided eye (~134 min). Overall, the limit of detection for CLAP-TB assay was up to 1 ag of RNA, while the clinical sensitivity and specificity were 98.27% and 100%, respectively, on the pilot scale. Together, our CLAP-TB assay offers proof of concept for a rapid, sensitive, and specific method with the minimum technical expertise required for TB diagnosis in developing and resource-limited settings.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40327607,Miliary Patterns on Computerized Tomography Imaging of Chest in Immunocompromised Patient: Unveiling Disseminated Histoplasmosis.,The American journal of case reports,2025,Sravani Kamatam; Anusha Akepati; Divya Shivakumar,"BACKGROUND Disseminated histoplasmosis is a rare fungal infection caused by dimorphic fungus Histoplasma capsulatum. Immunocompetent patients are usually asymptomatic or have self-limiting disease; however, immunocompromised patients present as disseminated infection. Our case report includes an immunocompromised host with atypical presentation and imaging findings consistent with a miliary pattern that did not fit the classical clinical picture of disseminated histoplasmosis, causing a delay in the diagnosis. CASE REPORT We report a case of a patient who presented with shortness of breath, nonproductive cough, low-grade fevers, and weight loss, who received a diagnosis of disseminated histoplasmosis, with an underlying immunocompromised state. Due to the ineffectiveness of initial management with empiric antibiotics, imaging with computed tomography (CT) of the chest was done, revealing miliary disease, and tuberculosis was first in the differential diagnosis. She had a positive histoplasma urine antigen, and bronchial alveolar lavage fluid tested positive for histoplasma antigen, confirming miliary histoplasmosis. Her CT of the abdomen/pelvis showed multiple lesions in the spleen and adrenal glands bilaterally, concerning for disseminated histoplasmosis, which was treated with amphotericin B, followed by itraconazole. CONCLUSIONS Disseminated histoplasmosis is a rare and challenging diagnosis; there should be a low suspicion for histoplasmosis in patients treated with tumor necrosis factor inhibitors, as mortality is high in such cases. Despite the inability to detect antibodies in immunocompromised patients, definitive diagnostic tests must be considered through culture and histopathology, the criterion standard tests, before excluding infectious causes. This case highlights the challenges faced in diagnosing and treating miliary histoplasmosis in immunocompromised patients.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40322625,Double Trouble in the Pericardium: A Rare Co-Infection of Tuberculosis and Tularemia Leading to Cardiac Tamponade.,Journal of medical cases,2025,Barbara Okeke; Ciri Pocha; Lanerica Rogers; Amber Stefanski; Christian Hendrix; Chien-Jung Lin,"Cardiac tamponade attributed to co-infection with multiple pathogens is rare. A 40-year-old man who migrated from India 10 years prior with no medical history presented with a progressive dyspnea, night sweats, intermittent fevers, weight loss over a 3-month period, and a cough. An echocardiogram revealed cardiac tamponade and further biopsy revealed necrotizing granulomas with diffuse necrotic lymphadenopathy. Early anchoring bias led to an extensive tuberculosis (TB) workup which was initially negative. However, after broadening the differential, a co-infection of tularemia and latent extrapulmonary TB was identified as the etiology of cardiac tamponade. While tularemia in the setting of immunodepression has been identified as a cause for pericarditis, there is no current literature of a tularemia and TB co-infection causing cardiac tamponade. This case highlights the importance of expanding a differential diagnosis when the presentation does not fit the diagnosis, especially when a delay in management can be consequential.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40262464,Customized MHC Class I & II restricted peptides from clinical isolates of Mycobacterium tuberculosis tweak strong cellular immune response in Healthy individuals and Pulmonary Tuberculosis patients: A potential candidate in vaccine design.,"Tuberculosis (Edinburgh, Scotland)",2025,Niharika Sharma; Beenu Joshi; Bhawna Sharma; Santosh Kumar; Keshar Kunja Mohanty; Hridayesh Prakash,"Tuberculosis (TB) remains a global health challenge as annual mortality rate due to drug resistant TB is increasing exponentially. This is mostly associated with the delayed diagnosis of Multidrug-resistant (MDR) or latent TB. Effective management of TB demands development of novel immunological strategies, such as peptide-based/subunit vaccines that can stimulate specific immune responses. In this context, we evaluated the immunogenic potential of two Major Histocompatibility Complex (MHC) Class I/II-restricted peptides from Mycobacterium tuberculosis (M. tuberculosis): Rv2588c and Rv0148. The peptides were tested on T and monocyte populations from healthy donors and pulmonary TB (PTB) patients. Flow cytometry analysis revealed significant T cell activation in peripheral blood mononuclear cells (PBMC) from both groups. Enzyme-linked immunosorbent assay (ELISA) demonstrated a strong IFN-γ response, confirming effective T cell activation. Additionally, these peptides induced increased nitric oxide (NO) production in macrophages, indicating their role in activating the innate immune system. Overall, Rv2588c and Rv0148 peptides exhibited robust immunogenicity, stimulating both adaptive and innate immune responses in PBMCs from healthy and PTB individuals. These findings highlight their potential as promising TB vaccine candidates, paving the way for improved TB treatment and prevention strategies.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40256136,"Comprehensive Assessment of Genital Infections and Reproductive Health in Women Visiting a Fertility Clinic in Warangal, India-A Case-Control Study.",Health science reports,2025,Naresh Patnaik; Uttam Sarkar; Malathi Jojula; Hema Vaddiraju; Ruchi Jain Dey,"Female infertility is a global health issue however, its link with genital infections is often overlooked due to asymptomatic nature of infections. Delayed diagnosis and treatment due to absence of reliable point-of-care (POC) tools result in long-term pathological consequences and infertility. This pilot-scale study aims to identify the most noteworthy prognostic symptoms of genital infections that exhibit a significant correlation with reproductive tract disorders and infertility. We designed a detailed questionnaire and conducted a case-control, observational study with 100 female patients, categorized into infertile (n1 = 62) and healthy groups (n2 = 38) followed by statistical analysis. This study highlights an early onset of infertility (18-25 years). Approximately 27% of the infertile female patients are symptomatic for genital infections, and ~42% exhibit menstrual irregularities. Polycystic ovarian syndrome/disease (PCOS/PCOD, ~30%) appears to be the most predominant disorder, followed by endometrial disorders (~10%) and tubal damage (~8%) in infertile patients. A multivariate correlation analysis revealed a highly significant (<i>p</i> ≤ 0.05) and strong association (0.15 < Φ ≤ 1.0) between menstrual disorders, endometrial disorders, uterine/tubal blockage, and hormonal disruption with infection-associated symptoms, e.g. vaginitis, cervicitis, pelvic inflammatory disorder (PID), dyspareunia or infections like tuberculosis (TB) & urinary tract infection (UTI). Our study shows a significant contribution of genital infections to female infertility. Nevertheless, a substantial 73% of infertile patients are ineligible for confirmatory diagnosis due to the absence of classical infection symptoms. This underscores the pressing requirement for comprehensive screening strategies for timely management of reproductive health and fertility. This study was performed in line with the principles of the STrengthening the Reporting of OBservational studies in Epidemiology (STROBE) guidelines (Supporting Information 1) [1]. The study was performed following an ethical approval of the Institutional Human Ethics Committee. All individuals who participated in the study were fully informed about various aspects, including the study's objectives, methodologies, sources of funding, potential conflicts of interest, institutional affiliations of the researcher, anticipated benefits, potential risks, and the discomfort they might experience. Their participation was contingent on obtaining their informed consent (See Supporting Information 2 for patient consent form). Furthermore, to safeguard patient confidentiality, we took measures to de-identify patient information. This included the removal of exact ages, which were replaced with age ranges, and the omission of exact dates or photographs during presentation of the data.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
40200612,Role of Sequential Approach to Sample Collection in Microbiological Diagnosis of Smear Negative Pulmonary Tuberculosis.,The Journal of the Association of Physicians of India,2025,Kirti Kadian; Aditya Chaudhary; Geetika Arya; Aman Ahuja; Krishan B Gupta; Dhruva Chaudhry; Pawan K Singh,"The current diagnostic tools for pulmonary tuberculosis (PTB) fail in detecting up to 43% of cases, leading to inappropriate use of antibiotics and delayed diagnosis. Induced sputum and bronchoalveolar lavage (BAL) are more accurate samples, but their use is not clearly recommended. This study evaluates the real-world feasibility and effectiveness of using a sequential collection of respiratory samples to diagnose PTB. PTB cases with sputum-scarce or smear-negative status were included. Sputum induction (SI) and BAL samples were collected. We used a composite reference standard (CRS) method as the reference. Of 220 cases screened, 156 were enrolled. Eighty cases underwent successful SI (group A), and 76 cases failed induction (group B). In group A, 53.75% of cases were positive for <i>Mycobacterium tuberculosis</i> (MTB) by cartridge-based nucleic acid amplification test (CBNAAT). Of the 112 cases that underwent flexible optic bronchoscopy (FOB), 85 were detected positive for PTB, of which eight were detected rifampicin-resistant by CBNAAT in BAL samples. The remaining cases were found to have an alternative diagnosis. Using the sequential approach, CBNAAT had a higher cumulative sensitivity (97.72%), specificity (100%), and diagnostic accuracy (DA) (98.08%) with a <i>p</i>-value < 0.001, as compared to either smear examination or culture. 27.56% of cases were able to avoid bronchoscopy using the sequential technique. The sequential technique of sample collection increased the bacteriological confirmation of PTB.",(tuberculosis[MeSH Terms] OR tuberculosis[Title/Abstract]) AND (delay OR timeliness OR diagnosis delay OR treatment delay) AND India
